80000	Neoplasm, benign
80001	Neoplasm, uncertain whether benign or malignant
80003	Neoplasm, malignant
80006	Neoplasm, metastatic
80009	Neoplasm, malignant, uncertain whether primary or metastatic
80010	Tumor cells, benign
80011	Tumor cells, uncertain whether benign or malignant
80013	Tumor cells, malignant
80023	Malignant tumor, small cell type
80033	Malignant tumor, glant cell type
80043	Malignant tumor, spindle cell type
80050	Clear cell tumor, NOS
80053	Malignant tumor, clear cell type
80100	Epithelial tumor, benign
80102	Carcinoma in situ, NOS
80103	Carcinoma, NOS
80106	Carcinoma, metastatic, NOS
80109	Carcinomatosis
80110	Epithelioma, benign
80113	Epithelioma, malignant
80123	Large cell carcinoma, NOS
80133	Large cell neuroendocrine carcinoma
80143	Large cell carcinoma with rhabdoid phenotype
80153	Glassy cell carcinoma
80203	Carcinoma, undifferentiated, NOS
80213	Carcinoma, anaplastic, NOS
80223	Pleomorphic carcinoma
80233	Nuclear protein in testis (NUT) associated carcinoma
80303	Giant cell and spindle cell carcinoma
80313	Giant cell carcinoma
80323	Spindle cell carcinoma, NOS
80333	Pseudosarcomatous carcinoma
80343	Polygonal cell carcinoma
80353	Carcinoma with osteoclast-like giant cells
80400	Tumorlet, benign
80401	Tumorlet, NOS
80413	Small cell carcinoma, NOS
80423	Oat cell carcinoma (C34._)
80433	Small cell carcinoma, fusiform cell
80443	Small cell carcinoma, intermediate cell
80453	Combined small cell carcinoma
80463	Non-small cell carcinoma (C34._)
80500	Papilloma, NOS (except papilloma of bladder M-8120/I)
80502	Papillary carcinoma in situ
80503	Papillary carcinoma, NOS
80510	Verrucous papilloma
80513	Verrucous carcinoma, NOS
80520	Squamous cell papilloma, NOS
80522	Papillary squamous cell carcinoma, non-invasive
80523	Papillary squamous cell carcinoma
80530	Squamous cell papilloma, inverted
80540	Warty dyskeratoma
80543	Warty carcinoma
80600	Squamous papillomatosis
80702	Squamous cell carcinoma in situ, NOS
80703	Squamous cell carcinoma, NOS
80706	Squamous cell carcinoma, metastatic, NOS
80713	Squamous cell carcinoma, keratinizing, NOS
80723	Squamous cell carcinoma, large cell, nonkeratinizing, NOS
80733	Squamous cell carcinoma, small cell, nonkeratinizing
80743	Squamous cell carcinoma, spindle cell
80753	Squamous cell carcinoma, adenoid
80762	Squamous cell carcinoma in situ with questionable stromal invasion
80763	Squamous cell carcinoma, microinvasive
80770	Squamous intraepithelial neoplasia, low grade
80772	Squamous intraepithelial neoplasia, high grade
80783	Squamous cell carcinoma with horn formation
80802	Queyrat erythroplasia (C60._)
80812	Bowen disease (C44._)
80823	Lymphoepithelial carcinoma
80833	Basaloid squamous cell carcinoma
80843	Squamous cell carcinoma, clear cell type
80853	Squamous cell carcinoma, HPV-positive
80863	Squamous cell carcinoma, HPV-negative
80901	Basal cell tumor (C44._)
80903	Basal cell carcinoma, NOS (C44._)
80913	Multifocal superficial basal cell carcinoma (C44._)
80923	Infiltrating basal cell carcinoma, NOS (C44._)
80933	Basal cell carcinoma, fibroepithelial (C44._)
80943	Basosquamous carcinoma (C44._)
80953	Metatypical carcinoma (C44._)
80960	Intraepidermal epithelioma of Jadassohn (C44._)
80973	Basal cell carcinoma, nodular (C44._)
80983	Adenoid basal carcinoma (C53._)
81000	Trichoepithelioma (C44._)
81010	Trichofolliculoma (C44._)
81020	Trichilemmoma (C44._)
81023	Trichilemmocarcinoma (C44._)
81030	Pilar tumor (C44._)
81040	Pilar sheath acanthoma (C44._)	
81100	Pilomatrixoma, NOS (C44._)
81103	Pilomatrix carcinoma (C44._)
81200	Transitional cell papilloma, benign
81201	Urothelial papilloma, NOS
81202	Transitional cell carcinoma in situ
81203	Transitional cell carcinoma
81210	Schneiderian papilloma, NOS (C30.0, C31._)
81211	Transitional cell papilloma, inverted, NOS
81213	Schneiderian carcinoma (C30.0, C31._)
81223	Transitional cell carcinoma, spindle cell
81233	Basaloid carcinoma
81243	Cloacogenic carcinoma (C21.2)
81301	Papillary transitional cell neoplasm of low malignant potential (C67._)
81302	Papillary transitional cell carcinoma, non-invasive (C67._)
81303	Papillary transitional cell carcinoma (C67._)
81313	Transitional cell carcinoma, micropapillary (C67._)
81400	Adenoma, NOS
81401	Atypical adenoma
81402	Adenocarcinoma in situ, NOS
81403	Adenocarcinoma, NOS
81406	Adenocarcinoma, metastatic, NOS
81413	Scirrhous adenocarcinoma
81423	Linitis plastica (C16._)
81433	Superficial spreading adenocarcinoma
81443	Adenocarcinoma, intestinal type (C16._)
81453	Carcinoma, diffuse type (C16._)
81460	Monomorphic adenoma
81470	Basal cell adenoma
81473	Basal cell adenocarcinoma
81480	Glandular intraepithelial neoplasia, low grade
81482	Glandular intraepithelial neoplasia, high grade
81490	Canalicular adenoma
81500	Pancreatic endocrine tumor, benign (C25._)
81501	Pancreatic endocrine tumor, NOS (C25._)
81503	Pancreatic endocrine tumor, malignant
81510	Insulinoma, NOS (C25._)
81513	Insulinoma, malignant (C25._)
81521	Glucagonoma, NOS (C25._)
