8000	Neoplasm, malignant
8001	Tumor cells, malignant
8002	Malignant tumor, small cell type
8003	Malignant tumor, giant cell type
8004	Malignant tumor, spindle cell type
8005	Malignant tumor, clear cell type
8010	Carcinoma, NOS
8011	Epithelioma, malignant
8012	Large cell carcinoma, NOS
8013	Large cell neuroendocrine carcinoma
8014	Large cell carcinoma with rhabdoid phenotype
8015	Glassy cell carcinoma
8020	Carcinoma, undifferentiated, NOS
8021	Carcinoma, anaplastic, NOS
8022	Pleomorphic carcinoma
8030	Giant cell and spindle cell carcinoma
8031	Giant cell carcinoma
8032	Spindle cell carcinoma, NOS
8033	Pseudosarcomatous carcinoma
8034	Polygonal cell carcinoma
8035	Carcinoma with osteoclast-like giant cells
8041	Small cell carcinoma, NOS
8042	Oat cell carcinoma (C34._)
8043	Small cell carcinoma, fusiform cell
8044	Small cell carcinoma, intermediate cell
8045	Combined small cell carcinoma
8046	Non-small cell carcinoma (C34._)
8050	Papillary carcinoma, NOS
8051	Verrucous carcinoma, NOS
8052	Papillary squamous cell carcinoma
8070	Squamous cell carcinoma, NOS
8071	Squamous cell carcinoma, keratinizing, NOS
8072	Squamous cell carcinoma, large cell, nonkeratinizing, NOS
8073	Squamous cell carcinoma, small cell, nonkeratinizing
8074	Squamous cell carcinoma, spindle cell
8075	Squamous cell carcinoma, adenoid
8076	Squamous cell carcinoma, microinvasive
8078	Squamous cell carcinoma with horn formation
8082	Lymphoepithelial carcinoma
8083	Basaloid squamous cell carcinoma
8084	Squamous cell carcinoma, clear cell type
8090	Basal cell carcinoma, NOS (C44._)
8091	Multifocal superficial basal cell carcinoma (C44._)
8092	Infiltrating basal cell carcinoma, NOS (C44._)
8093	Basal cell carcinoma, fibroepithelial (C44._)
8094	Basosquamous carcinoma (C44._)
8095	Metatypical carcinoma (C44._)
8097	Basal cell carcinoma, nodular (C44._)
8098	Adenoid basal carcinoma (C53._)
8102	Trichilemmocarcinoma (C44._)
8110	Pilomatrix carcinoma (C44._)
8120	Transitional cell carcinoma
8121	Schneiderian carcinoma (C30.0, C31._)
8122	Transitional cell carcinoma, spindle cell
8123	Basaloid carcinoma
8124	Cloacogenic carcinoma (C21.2)
8130	Papillary transitional cell carcinoma (C67._)
8131	Transitional cell carcinoma, micropapillary (C67._)
8140	Adenocarcinoma, NOS
8141	Scirrhous adenocarcinoma
8142	Linitis plastica (C16._)
8143	Superficial spreading adenocarcinoma
8144	Adenocarcinoma, intestinal type (C16._)
8145	Carcinoma, diffuse type (C16._)
8147	Basal cell adenocarcinoma
8150	Pancreatic endocrine tumor, malignant
8151	Insulinoma, malignant (C25._)
8152	Glucagonoma, malignant (C25._)
8153	Gastrinoma, malignant
8154	Mixed pancreatic endocrine and exocrine tumor, malignant (C25._)
8155	Vipoma, malignant
8156	Somatostatinoma, malignant
8160	Cholangiocarcinoma (C22.1, C24.0)
8161	Bile duct cystadenocarcinoma (C22.1, C24.0)
8162	Klatskin tumor (C22.1, C24.0)
8163	Pancreatobiliary-type carcinoma (C24.1)
8170	Hepatocellular carcinoma, NOS (C22.0)
8171	Hepatocellular carcinoma, fibrolamellar (C22.0)
8172	Hepatocellular carcinoma, scirrhous (C22.0)
8173	Hepatocellular carcinoma, spindle cell variant (C22.0)
8174	Hepatocellular carcinoma, clear cell type (C22.0)
8175	Hepatocellular carcinoma, pleomorphic type (C22.0)
8180	Combined hepatocellular carcinoma and cholangiocarcinoma (C22.0)
8190	Trabecular adenocarcinoma
8200	Adenoid cystic carcinoma
8201	Cribriform carcinoma, NOS
8210	Adenocarcinoma in adenomatous polyp
8211	Tubular adenocarcinoma
8213	Serrated adenocarcinoma
8214	Parietal cell carcinoma (C16._)
8215	Adenocarcinoma of anal glands (C21.1)
8220	Adenocarcinoma in adenomatous polyposis coli (C18._)
8221	Adenocarcinoma in multiple adenomatous polyps
8230	Solid carcinoma, NOS
8231	Carcinoma simplex
8240	Carcinoid tumor, NOS
8241	Enterochromaffin cell carcinoid
8242	Enterochromaffin-like cell tumor, malignant
8243	Goblet cell carcinoid
8244	Mixed adenoneuroendocrine carcinoma
8245	Adenocarcinoid tumor
8246	Neuroendocrine carcinoma, NOS
8247	Merkel cell carcinoma (C44._)
8249	Atypical carcinoid tumor
8250	Bronchiolo-alveolar adenocarcinoma, NOS (C34._)
8251	Alveolar adenocarcinoma (C34._)
8252	Bronchiolo-alveolar carcinoma, non-mucinous (C34._)
8253	Bronchio-alveolar carcinoma, mucinous (C34._)
8254	Bronchio-alveolar carcinoma, mixed mucinous and non-mucinous (C34._)
8255	Adenocarcinoma with mixed subtypes
